signal,entry_time,exit_time,pair,direction,pair_entry,pair_exit,r_actual,outcome,sl_pts_dxy,dxy_outcome,dxy_entry,dxy_tp,dxy_sl,london_open,gap_pts_at_lon,wave_ext_pts
ATTR_CORE_LONG,2025-09-19 07:45:00+00:00,2025-09-19 08:00:00+00:00,USDCHF,long,0.79409,0.79483,1.609,win,460,loss,147.932,148.07,147.886,147.852,750.0,0.0
ATTR_CORE_LONG,2025-09-19 07:45:00+00:00,2025-09-19 08:00:00+00:00,NZDUSD,short,0.58734,0.58696,0.824,win,460,loss,147.932,148.07,147.886,147.852,750.0,0.0
ATTR_CORE_LONG,2025-09-19 07:45:00+00:00,2025-09-19 08:00:00+00:00,GBPUSD,short,1.34916,1.34905,0.239,win,460,loss,147.932,148.07,147.886,147.852,750.0,0.0
GAP_REJ_SHORT,2025-09-19 12:45:00+00:00,2025-09-22 03:00:00+00:00,USDCHF,short,0.79589,0.79675,-0.424,loss,2030,loss,148.158,147.549,148.361,147.852,280.0,0.0
GAP_REJ_SHORT,2025-09-19 12:45:00+00:00,2025-09-22 03:00:00+00:00,GBPUSD,long,1.34686,1.34646,-0.197,loss,2030,loss,148.158,147.549,148.361,147.852,280.0,0.0
GAP_REJ_SHORT,2025-09-19 12:45:00+00:00,2025-09-22 03:00:00+00:00,EURUSD,long,1.1736,1.17335,-0.123,loss,2030,loss,148.158,147.549,148.361,147.852,280.0,0.0
GAP_REJ_SHORT,2025-10-13 07:30:00+00:00,2025-10-15 02:00:00+00:00,USDCHF,short,0.80227,0.80032,0.531,win,3670,win,152.263,151.162,152.63,151.828,1240.0,0.0
GAP_REJ_SHORT,2025-10-13 07:30:00+00:00,2025-10-15 02:00:00+00:00,GBPUSD,long,1.33415,1.33048,-1.0,loss,3670,win,152.263,151.162,152.63,151.828,1240.0,0.0
GAP_REJ_SHORT,2025-10-13 07:30:00+00:00,2025-10-15 02:00:00+00:00,EURUSD,long,1.16038,1.15671,-1.0,loss,3670,win,152.263,151.162,152.63,151.828,1240.0,0.0
REV_SHORT,2025-10-13 10:30:00+00:00,2025-10-13 14:00:00+00:00,USDCHF,short,0.80389,0.80505,-1.0,loss,1160,loss,152.166,151.876,152.282,151.828,0.0,5360.0
REV_SHORT,2025-10-13 10:30:00+00:00,2025-10-13 14:00:00+00:00,EURUSD,long,1.1585,1.15734,-1.0,loss,1160,loss,152.166,151.876,152.282,151.828,0.0,5360.0
REV_SHORT,2025-10-13 10:30:00+00:00,2025-10-13 14:00:00+00:00,GBPUSD,long,1.3338,1.33264,-1.0,loss,1160,loss,152.166,151.876,152.282,151.828,0.0,5360.0
REV_SHORT,2025-10-13 10:30:00+00:00,2025-10-13 14:00:00+00:00,USDCAD,short,1.40042,1.40158,-1.0,loss,1160,loss,152.166,151.876,152.282,151.828,0.0,5360.0
REV_SHORT,2025-10-13 10:30:00+00:00,2025-10-13 14:00:00+00:00,NZDUSD,long,0.57313,0.57287,-0.226,loss,1160,loss,152.166,151.876,152.282,151.828,0.0,5360.0
REV_SHORT,2025-10-13 10:30:00+00:00,2025-10-13 14:00:00+00:00,USDJPY,short,152.166,152.282,-1.0,loss,1160,loss,152.166,151.876,152.282,151.828,0.0,5360.0
REV_SHORT,2025-10-13 10:30:00+00:00,2025-10-13 14:00:00+00:00,AUDUSD,long,0.65232,0.65116,-1.0,loss,1160,loss,152.166,151.876,152.282,151.828,0.0,5360.0
REV_SHORT,2025-10-20 07:15:00+00:00,2025-10-20 09:00:00+00:00,EURUSD,long,1.16648,1.16595,-0.288,loss,1840,win,150.789,150.329,150.973,150.659,0.0,1300.0
REV_SHORT,2025-10-20 07:15:00+00:00,2025-10-20 09:00:00+00:00,USDCHF,short,0.79337,0.79282,0.299,win,1840,win,150.789,150.329,150.973,150.659,0.0,1300.0
