date,direction,gap_pts_at_lon,zone_width_pts,wave_bars,wave_extension_pts,wave_total_pts,pts_per_bar,slope_pts_bar,r2,avg_body_pts,avg_range_pts,body_ratio,pct_directional,rsi_at_peak,bb_pctb_at_peak,bb_width_pts_peak,bb_expanding,bb_width_chg_pct,macd_hist_peak,ema20_dist_pts,atr_mult,rsi_divergence,macd_divergence,reached_far_edge,max_progress_pct,pullback_pts
2024-05-07,SHORT,800.0,570.0,46,1900.0,2700.0,42.2,9.75,0.028,224.8,449.1,0.5,54.3,76.1,0.878,4144.8,True,259.6,254.26,1568.3,3.26,False,False,True,130.7,340.0
2024-05-08,SHORT,1270.0,530.0,4,570.0,1840.0,190.0,180.0,0.617,207.5,472.5,0.439,75.0,73.7,1.396,815.3,True,43.6,-19.08,730.4,1.99,False,False,False,70.6,570.0
2024-05-09,SHORT,700.0,360.0,19,1270.0,1970.0,70.6,17.25,0.072,208.4,375.8,0.555,73.7,67.4,0.998,1450.9,False,-0.3,0.75,722.0,1.84,False,True,True,376.4,5170.0
2024-05-10,SHORT,280.0,30.0,30,1660.0,1940.0,57.2,12.21,0.067,260.0,460.3,0.565,40.0,64.6,1.179,1920.4,True,81.7,62.19,1303.5,1.99,False,False,True,296.8,1010.0
2024-05-17,SHORT,500.0,160.0,16,2200.0,2700.0,146.7,130.09,0.711,238.1,383.1,0.622,50.0,68.3,0.729,3379.4,True,190.7,58.17,775.1,2.29,False,False,True,250.0,3260.0
2024-05-21,LONG,540.0,280.0,10,560.0,1100.0,62.2,-54.0,0.181,304.0,442.0,0.688,60.0,33.6,-0.002,1711.4,True,14.0,-94.7,-859.2,2.13,True,True,True,276.8,1420.0
2024-05-23,LONG,300.0,80.0,26,2380.0,2680.0,95.2,-88.34,0.806,281.5,490.4,0.574,65.4,31.3,0.053,2156.9,True,231.1,-64.09,-965.2,2.0,False,False,True,634.2,4310.0
2024-05-24,LONG,170.0,130.0,38,3690.0,3860.0,99.7,-95.87,0.954,223.7,431.8,0.518,71.1,26.1,0.051,2473.0,True,120.5,-37.77,-1110.6,2.33,False,True,True,143.3,840.0
2024-05-28,LONG,990.0,50.0,17,1350.0,2340.0,84.4,-42.92,0.258,220.6,357.1,0.618,64.7,28.2,-0.165,1570.3,True,108.3,-101.51,-1043.9,2.82,False,False,True,157.7,2510.0
2024-05-31,SHORT,860.0,200.0,2,110.0,970.0,110.0,110.0,1.0,245.0,375.0,0.653,100.0,57.4,0.851,755.2,False,-4.7,-21.85,265.1,0.78,False,False,True,461.3,2170.0
2024-06-04,SHORT,740.0,90.0,17,1840.0,2580.0,115.0,112.92,0.782,334.7,571.8,0.585,58.8,64.4,0.808,2878.8,True,219.0,70.97,887.2,1.67,False,True,True,108.4,1840.0
2024-06-05,SHORT,1130.0,230.0,37,1640.0,2770.0,45.6,16.11,0.063,337.0,573.0,0.588,40.5,61.3,0.81,3630.6,True,131.0,132.34,1126.2,1.42,True,False,True,105.1,1790.0
