gap,approach,reward,near_tp,n_sigs,net_r,wr,pf,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
75,125,75,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
75,125,100,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
75,125,100,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
75,125,125,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
75,125,125,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
75,125,150,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
75,125,150,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
75,125,175,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
75,125,175,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
75,125,200,True,96,-13.58,49.3,0.933,-0.15,-13.44,-1.46,1.47
75,125,200,False,91,-28.25,50.0,0.847,-3.79,-9.26,-11.59,-3.6
75,150,50,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
75,150,50,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
75,150,75,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
75,150,75,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
75,150,100,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
75,150,100,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
75,150,125,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
75,150,125,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
75,150,150,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
75,150,150,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
75,150,175,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
75,150,175,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
75,150,200,True,95,-12.16,48.6,0.941,-0.8,-15.98,-0.27,4.89
75,150,200,False,90,-29.94,49.8,0.841,-4.74,-13.63,-11.19,-0.37
75,175,50,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
75,175,50,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
75,175,75,True,93,-18.53,47.7,0.91,-1.0,-18.62,-4.48,5.57
75,175,75,False,89,-33.0,48.9,0.826,-5.49,-14.23,-13.52,0.24
